UserID,ArtisitID,Rating
1,1000125,90
1,1006373,100
1,1006978,90
1,1007035,100
1,1007098,100
1,1007723,100
1,1008659,100
1,1008916,100
1,1012809,70
1,1014635,100
1,1016419,100
1,1016470,100
1,1016522,100
1,1016885,100
1,1017874,100
1,1017881,100
1,1019512,100
1,1019522,100
1,1020524,100
1,1020560,100
1,1020778,100
1,1021623,100
1,1024006,100
1,1024015,100
1,1024496,100
1,1024635,100
1,1024759,100
1,1029612,100
1,1033451,100
1,1034801,100
1,1036157,90
1,1037847,100
1,1041557,90
1,1042768,100
1,1043712,100
1,1045024,100
1,1045525,100
1,1047584,100
1,1053507,90
1,1098798,90
2,1004623,0
2,1018143,0
2,1040071,90
2,1053438,90
2,1098087,90
2,1098636,90
3,1006316,90
4,1000335,0
4,1002815,0
4,1008451,0
4,1009352,70
4,1009453,0
4,1011846,0
4,1014252,0
4,1014635,50
4,1015272,0
4,1019512,90
4,1019857,0
4,1021676,0
4,1021815,0
4,1021912,0
4,1022226,30
4,1022925,0
4,1026581,0
4,1027634,0
4,1030727,0
4,1030811,90
4,1034801,90
4,1041052,0
4,1042272,90
4,1042768,70
4,1043833,90
4,1044871,90
4,1045021,90
4,1045191,0
4,1049897,0
4,1051787,90
4,1053507,70
4,1058980,90
4,1082975,0
4,1098270,30
4,1098329,30
4,1098798,30
4,1099394,0
5,1000026,90
5,1000125,90
5,1002404,90
5,1003454,90
5,1004095,0
5,1006389,100
5,1007723,0
5,1010065,90
5,1010309,100
5,1010787,0
5,1012011,90
5,1012920,100
5,1013012,0
5,1013025,100
5,1013213,0
5,1013384,0
5,1013412,100
5,1013565,100
5,1014120,100
5,1014252,0
5,1014287,100
5,1014312,0
5,1015454,100
5,1015750,0
5,1017306,100
5,1017555,90
5,1018995,0
5,1019134,90
5,1020326,0
5,1020829,0
5,1021580,0
5,1022629,0
5,1022980,90
5,1024467,100
5,1025005,0
5,1026194,100
5,1026260,100
5,1029481,90
5,1029489,90
5,1029612,0
5,1029908,100
5,1030683,90
5,1030879,0
5,1031044,100
5,1031503,0
5,1031703,100
5,1031913,90
5,1032638,100
5,1033451,0
5,1033747,0
5,1034883,100
5,1037490,0
5,1037847,90
5,1043384,90
5,1043454,0
5,1044487,0
5,1045525,0
5,1045704,90
5,1046331,0
5,1052054,0
5,1052094,0
5,1052200,0
5,1053407,0
5,1053686,100
5,1081608,90
5,1097498,0
5,1097550,0
5,1098048,0
5,1098125,0
5,1098209,0
5,1099251,100
5,1099368,0
6,1000335,50
6,1006078,30
6,1006373,70
6,1007610,30
6,1008023,30
6,1009453,70
6,1010542,70
6,1010787,70
6,1010797,50
6,1012174,0
6,1012809,90
6,1014252,70
6,1014312,70
6,1014635,50
6,1015272,0
6,1015424,50
6,1016419,30
6,1017240,50
6,1017435,0
6,1017874,50
6,1018587,70
6,1019576,70
6,1019857,70
6,1021142,0
6,1021815,30
6,1021869,70
6,1021912,30
6,1021928,50
6,1022010,70
6,1022226,50
6,1022925,70
6,1024670,0
6,1024844,70
6,1025831,70
6,1026015,90
6,1026882,50
6,1027009,50
6,1027741,0
6,1027743,30
6,1030933,30
6,1031044,70
6,1031096,0
6,1032224,30
6,1032444,50
6,1034801,90
6,1039719,90
6,1041052,30
6,1042272,50
6,1042768,50
6,1044604,0
6,1045021,70
6,1045525,30
6,1048335,90
6,1051787,30
6,1052054,70
6,1052200,30
6,1053387,50
6,1053507,70
6,1053653,30
6,1062238,90
6,1083194,50
6,1097498,70
6,1098048,70
6,1098099,70
6,1098349,50
6,1098595,70
6,1098798,70
6,1099096,50
6,1099097,50
6,1099173,50
7,1003242,90
7,1008877,90
